
                   **** ELAST ****

This programm is free software an may be freely distributed
for no-commercial purposes .

 (C) 1996-98 by Boris Harss, ANL

Reaction: 58NI(126XE,126XE)58NI    Q = 0.000000

Angle     Energy3_+ Angle4_-  Energy4_- Energy3_- Angle4_+  Energy4_+ 
     22.4    363.03  -50.8332    190.97   115.254  -16.7219   438.746 
     22.5   361.147  -50.6024   192.853   115.854  -16.8517   438.146 
     22.6   359.249  -50.3701   194.751   116.466  -16.9831   437.534 
     22.7   357.333  -50.1361   196.667   117.089  -17.1161   436.911 
     22.8   355.402  -49.9005   198.598   117.725  -17.2508   436.275 
     22.9   353.453  -49.6631   200.547   118.374  -17.3872   435.626 
       23   351.486  -49.4239   202.514   119.035  -17.5255   434.965 
     23.1   349.502  -49.1828   204.498    119.71  -17.6656    434.29 
     23.2   347.499  -48.9398   206.501     120.4  -17.8077     433.6 
     23.3   345.477  -48.6948   208.523   121.104  -17.9517   432.896 
     23.4   343.435  -48.4477   210.565   121.823  -18.0979   432.177 
     23.5   341.373  -48.1985   212.627   122.558  -18.2462   431.442 
     23.6   339.291   -47.947   214.709    123.31  -18.3968    430.69 
     23.7   337.187  -47.6931   216.813   124.078  -18.5498   429.922 
     23.8   335.061  -47.4368   218.939   124.865  -18.7052   429.135 
     23.9   332.911  -47.1779   221.089    125.67  -18.8632    428.33 
       24   330.738  -46.9163   223.262   126.495  -19.0239   427.505 
     24.1   328.541  -46.6519   225.459   127.341  -19.1874   426.659 
     24.2   326.317  -46.3846   227.683   128.208  -19.3538   425.792 
     24.3   324.067  -46.1143   229.933   129.097  -19.5233   424.903 
     24.4   321.789  -45.8406   232.211    130.01   -19.696    423.99 
     24.5   319.482  -45.5636   234.518   130.948  -19.8722   423.052 
     24.6   317.144   -45.283   236.856   131.913  -20.0519   422.087 
     24.7   314.775  -44.9986   239.225   132.905  -20.2355   421.095 
     24.8   312.372  -44.7102   241.628   133.927  -20.4231   420.073 
     24.9   309.933  -44.4175   244.067    134.98  -20.6149    419.02 
       25   307.458  -44.1203   246.542   136.066  -20.8113   417.934 
     25.1   304.943  -43.8183   249.057   137.187  -21.0124   416.813 
     25.2   302.386  -43.5111   251.614   138.346  -21.2188   415.654 
     25.3   299.784  -43.1984   254.216   139.546  -21.4306   414.454 
     25.4   297.136  -42.8799   256.864   140.789  -21.6483   413.211 
     25.5   294.436  -42.5549   259.564   142.079  -21.8725   411.921 
     25.6   291.681   -42.223   262.319    143.42  -22.1035    410.58 
     25.7   288.867  -41.8837   265.133   144.816  -22.3421   409.184 
     25.8   285.989  -41.5361   268.011   146.273  -22.5888   407.727 
     25.9   283.041  -41.1796   270.959   147.795  -22.8446   406.205 
       26   280.016  -40.8131   273.984   149.391  -23.1102   404.609 
     26.1   276.905  -40.4356   277.095   151.068  -23.3869   402.932 
     26.2     273.7  -40.0458     280.3   152.837   -23.676   401.163 
     26.3   270.387   -39.642   283.613   154.708   -23.979   399.292 
     26.4   266.953  -39.2223   287.047   156.697  -24.2979   397.303 
     26.5   263.379  -38.7842   290.621   158.823  -24.6353   395.177 
     26.6   259.641  -38.3244   294.359   161.108  -24.9943   392.892 
     26.7   255.708  -37.8387   298.292   163.586  -25.3793   390.414 
     26.8   251.535  -37.3211   302.465   166.298   -25.796   387.702 
     26.9   247.061  -36.7634   306.939   169.309   -26.253   384.691 
       27   242.188  -36.1523   311.812   172.715  -26.7634   381.285 
     27.1   236.753  -35.4658   317.247   176.678  -27.3491   377.322 
     27.2   230.435  -34.6607   323.565   181.521  -28.0534   372.479 
